student_id,age,gender,city,state,branch,year_of_study,cgpa,daily_study_hours,daily_screen_time_hours,daily_chatgpt_usage_hours,daily_coding_hours,favorite_ai_tool,ai_dependency_level,productivity_score,stress_level,sleep_hours,placement_status,expected_salary_lpa,internet_quality,preferred_programming_language,mental_wellbeing_score,ai_replaceability_fear
STU01298,21,Female,Hyderabad,Karnataka,Civil,4,9.01,1.8,11.1,4.4,1.8,Claude,High,92,6,4.6,Placed,22.75,Average,Python,70,2
STU01299,25,Male,Kolkata,Delhi,AI/ML,2,5.98,8.2,9.3,5.5,5.5,ChatGPT,High,63,6,8.5,Placed,4.35,Poor,JavaScript,46,2
STU01300,20,Female,Chennai,West Bengal,IT,1,8.01,7.5,5.4,3.7,1.3,Perplexity,Low,73,1,6.1,Not Placed,8.72,Excellent,C++,40,9
STU01301,22,Female,Nagpur,West Bengal,IT,1,9.18,3.1,7.3,3.8,7.7,Perplexity,Low,46,7,7.2,Not Placed,20.81,Poor,C++,70,10
STU01302,25,Male,Bangalore,Tamil Nadu,IT,2,5.7,2.0,4.8,6.2,0.7,Perplexity,Medium,65,10,7.9,Not Placed,29.43,Average,Python,62,6
STU01303,17,Female,Delhi,West Bengal,AI/ML,4,7.68,9.5,9.2,7.9,6.8,Claude,Low,60,10,4.2,Not Placed,12.37,Good,C++,89,9
STU01304,18,Male,Hyderabad,Karnataka,Mechanical,3,9.62,5.8,4.3,6.2,8.1,Claude,Medium,76,10,4.4,Internship,8.38,Average,Java,51,5
STU01305,17,Female,Kolkata,West Bengal,ENTC,3,8.41,8.0,5.1,5.5,3.5,GitHub Copilot,Low,43,4,8.7,Placed,26.25,Poor,C++,87,10
STU01306,17,Male,Delhi,Tamil Nadu,Mechanical,1,6.8,4.5,6.8,6.5,8.5,Claude,Low,86,8,6.9,Placed,18.75,Average,C++,35,1
STU01307,18,Female,Ahmedabad,Telangana,Electrical,1,9.4,6.1,3.0,4.5,2.3,ChatGPT,Medium,52,10,7.4,Not Placed,32.43,Poor,C++,51,7
STU01308,18,Male,Mumbai,Delhi,Mechanical,4,6.36,4.2,8.4,5.2,3.6,ChatGPT,High,97,5,8.6,Internship,8.31,Excellent,C++,53,2
STU01309,20,Female,Delhi,Karnataka,Civil,2,7.25,7.1,11.3,5.7,4.0,ChatGPT,Low,92,3,8.8,Not Placed,21.04,Excellent,JavaScript,98,10
STU01310,23,Male,Delhi,Tamil Nadu,CSE,3,7.37,8.1,5.5,3.1,7.6,Gemini,Low,81,4,7.7,Internship,32.54,Good,C++,39,1
STU01311,26,Male,Delhi,Delhi,CSE,4,7.61,1.8,13.2,6.2,1.8,Perplexity,High,66,4,4.2,Placed,30.35,Excellent,JavaScript,97,9
STU01312,27,Female,Chennai,Karnataka,AI/ML,4,9.39,8.0,8.9,3.0,6.0,ChatGPT,Low,41,7,5.9,Internship,20.88,Poor,JavaScript,47,3
STU01313,28,Male,Ahmedabad,Tamil Nadu,IT,3,6.22,4.8,10.1,6.7,3.6,ChatGPT,Low,92,2,5.5,Internship,11.02,Excellent,Python,89,7
STU01314,24,Female,Chennai,Gujarat,Electrical,2,9.58,2.8,3.6,4.9,3.4,Gemini,Low,81,6,7.4,Internship,27.28,Excellent,Java,87,2
STU01315,18,Male,Bangalore,Maharashtra,IT,3,9.84,5.4,6.7,6.1,7.1,Gemini,Low,90,8,8.7,Not Placed,13.09,Poor,C++,44,3
STU01316,22,Male,Mumbai,Karnataka,Civil,4,7.64,6.6,13.8,6.1,8.9,Claude,High,70,9,8.1,Placed,9.85,Average,C++,34,4
STU01317,22,Female,Bangalore,Maharashtra,Electrical,3,9.03,6.2,6.0,1.5,1.3,ChatGPT,Medium,96,8,4.6,Internship,16.54,Good,C++,86,5
STU01318,22,Female,Hyderabad,Maharashtra,AI/ML,2,9.53,6.7,8.0,3.8,1.5,ChatGPT,Medium,82,1,7.8,Not Placed,12.31,Good,Python,70,4
STU01319,22,Male,Bangalore,Delhi,CSE,4,8.68,2.0,11.2,6.2,0.2,Gemini,Medium,73,8,8.3,Not Placed,6.83,Good,Java,66,4
STU01320,19,Female,Hyderabad,Maharashtra,Mechanical,1,9.38,3.8,13.7,3.4,8.9,Perplexity,Medium,43,7,4.5,Placed,7.88,Excellent,C++,34,5
STU01321,22,Female,Hyderabad,Karnataka,Mechanical,3,7.66,1.6,13.3,5.2,6.5,ChatGPT,Medium,84,5,6.4,Placed,30.18,Good,Java,63,4
STU01322,20,Male,Nagpur,Karnataka,Electrical,4,7.49,5.7,8.4,2.8,8.1,Perplexity,High,70,5,5.7,Placed,25.11,Average,JavaScript,53,6
STU01323,21,Female,Delhi,West Bengal,Electrical,1,8.46,2.2,11.3,7.2,3.1,Gemini,Medium,98,4,8.2,Placed,22.75,Excellent,C++,55,3
STU01324,23,Male,Bangalore,West Bengal,Electrical,4,8.76,1.6,3.5,6.4,3.4,Gemini,High,81,8,4.1,Placed,11.8,Average,C++,78,5
STU01325,19,Male,Nagpur,Delhi,Mechanical,1,8.19,8.6,6.0,2.9,1.6,Gemini,Medium,76,1,6.5,Internship,21.2,Average,Java,89,10
STU01326,24,Female,Nagpur,Delhi,ENTC,1,7.92,9.3,2.9,0.8,0.8,Perplexity,Low,83,5,7.4,Internship,16.45,Good,JavaScript,95,4
STU01327,26,Female,Ahmedabad,Maharashtra,AI/ML,4,7.17,9.8,9.7,5.8,7.4,Gemini,Low,74,10,4.3,Internship,30.09,Excellent,Java,65,10
STU01328,25,Male,Hyderabad,Gujarat,Mechanical,2,6.49,6.4,8.4,6.0,7.8,Gemini,Low,93,6,8.8,Not Placed,25.94,Good,C++,54,8
STU01329,25,Male,Pune,Karnataka,Civil,4,5.56,8.3,2.3,7.1,2.6,Claude,High,47,1,8.0,Not Placed,10.25,Good,Python,59,6
STU01330,25,Male,Pune,Maharashtra,Civil,4,8.6,5.6,9.4,5.6,4.5,GitHub Copilot,Low,48,10,4.9,Not Placed,31.61,Poor,JavaScript,89,8
STU01331,20,Female,Mumbai,Karnataka,IT,3,8.25,9.9,5.0,1.6,0.6,Perplexity,High,65,4,5.6,Internship,15.78,Poor,Python,41,8
STU01332,21,Female,Nagpur,Gujarat,ENTC,1,8.41,2.3,10.0,3.4,4.1,Perplexity,Medium,84,9,5.5,Not Placed,25.85,Excellent,Java,77,5
STU01333,17,Male,Ahmedabad,Tamil Nadu,CSE,3,8.69,2.1,12.3,7.9,2.0,Perplexity,Medium,80,9,7.6,Not Placed,33.57,Good,Java,96,10
STU01334,24,Male,Delhi,Delhi,AI/ML,3,5.76,10.0,13.3,5.8,5.2,Claude,Medium,89,5,4.4,Internship,24.15,Average,Java,30,10
STU01335,23,Female,Hyderabad,Telangana,ENTC,3,7.88,2.5,12.9,4.0,1.6,ChatGPT,Medium,89,5,7.9,Placed,14.98,Good,Python,85,9
STU01336,23,Male,Ahmedabad,Delhi,CSE,3,7.13,3.8,13.5,0.3,4.7,Claude,Medium,94,4,7.8,Placed,29.74,Excellent,JavaScript,99,7
STU01337,24,Female,Delhi,West Bengal,Civil,1,7.88,7.9,13.7,4.4,3.1,Claude,Medium,62,9,9.0,Internship,30.6,Poor,Java,91,6
STU01338,17,Male,Mumbai,Tamil Nadu,Civil,2,7.04,8.9,11.4,5.3,5.4,Perplexity,High,43,3,4.4,Internship,27.05,Good,Python,97,3
STU01339,27,Female,Chennai,Tamil Nadu,ENTC,1,6.24,8.0,10.7,3.5,1.1,ChatGPT,High,88,7,6.2,Not Placed,6.6,Average,JavaScript,44,4
STU01340,21,Female,Chennai,Gujarat,IT,1,6.82,3.4,7.4,0.6,3.3,ChatGPT,Low,48,2,7.3,Placed,25.49,Excellent,Python,48,3
STU01341,21,Male,Kolkata,Tamil Nadu,Electrical,3,5.55,6.5,5.0,3.3,1.0,Claude,Low,52,1,4.0,Not Placed,28.33,Poor,Java,83,9
STU01342,25,Male,Chennai,Delhi,CSE,4,6.76,2.5,7.5,7.1,4.5,ChatGPT,Low,97,3,4.6,Not Placed,11.18,Excellent,Python,87,3
STU01343,21,Male,Nagpur,Maharashtra,CSE,3,6.87,1.9,11.8,4.4,8.1,Claude,High,66,4,7.1,Placed,3.83,Good,Java,75,2
STU01344,26,Female,Ahmedabad,Karnataka,Mechanical,3,9.4,2.1,9.3,2.9,6.5,Claude,Low,78,10,4.4,Internship,28.36,Excellent,JavaScript,33,4
STU01345,17,Female,Kolkata,Tamil Nadu,IT,2,9.03,3.1,3.9,5.1,5.8,GitHub Copilot,Low,72,8,5.4,Not Placed,20.35,Average,Java,42,10
STU01346,20,Male,Chennai,Delhi,Electrical,3,9.38,5.5,3.3,7.0,1.5,GitHub Copilot,Medium,62,2,6.9,Not Placed,28.89,Poor,C++,78,1
STU01347,18,Male,Bangalore,Gujarat,IT,2,9.02,3.3,8.6,4.3,4.1,Claude,Low,62,3,8.8,Placed,15.45,Average,JavaScript,52,3
STU01348,25,Female,Nagpur,Tamil Nadu,Civil,3,6.71,6.8,10.9,0.7,5.3,Claude,High,80,1,4.1,Not Placed,5.5,Average,Python,40,9
STU01349,19,Male,Hyderabad,Telangana,AI/ML,4,8.79,8.3,4.0,5.8,0.8,Gemini,Medium,43,3,8.8,Not Placed,4.5,Good,Java,39,10
STU01350,28,Female,Hyderabad,Maharashtra,ENTC,3,5.76,3.2,6.4,3.7,3.3,Perplexity,Low,84,1,4.4,Placed,25.39,Poor,JavaScript,98,8
STU01351,19,Female,Bangalore,Tamil Nadu,Mechanical,3,6.9,6.9,9.7,5.8,5.0,Gemini,Medium,93,10,6.4,Internship,7.05,Excellent,C++,53,7
STU01352,18,Female,Chennai,West Bengal,ENTC,2,7.33,4.0,4.0,1.0,2.4,ChatGPT,High,58,9,8.1,Not Placed,21.43,Excellent,C++,69,5
STU01353,25,Female,Hyderabad,Maharashtra,AI/ML,4,8.42,1.8,6.2,6.5,5.4,Perplexity,High,79,8,4.4,Not Placed,18.97,Good,Java,73,4
STU01354,25,Female,Delhi,Maharashtra,ENTC,2,7.53,5.2,10.0,4.5,6.6,Gemini,High,52,1,4.8,Placed,31.53,Poor,C++,91,9
STU01355,25,Female,Delhi,Maharashtra,CSE,1,9.23,2.4,3.8,6.0,4.0,Claude,High,57,1,5.1,Placed,27.5,Good,JavaScript,34,7
STU01356,25,Male,Hyderabad,West Bengal,AI/ML,4,6.37,3.4,12.3,6.2,7.6,GitHub Copilot,High,50,3,6.7,Not Placed,15.68,Excellent,JavaScript,57,4
STU01357,18,Male,Nagpur,Tamil Nadu,AI/ML,2,7.47,2.8,9.2,5.6,4.6,Gemini,Low,56,6,4.9,Not Placed,34.5,Excellent,C++,94,10
STU01358,19,Male,Chennai,Telangana,CSE,1,8.04,6.2,7.4,5.1,8.6,Claude,High,75,1,8.7,Not Placed,7.79,Excellent,Python,89,4
STU01359,27,Male,Mumbai,Delhi,ENTC,1,7.36,9.0,4.4,6.0,6.9,Gemini,Low,97,9,4.9,Internship,3.19,Good,Python,59,5
STU01360,23,Male,Mumbai,Gujarat,Mechanical,2,8.03,2.6,9.2,7.9,6.2,Perplexity,Low,52,8,6.5,Not Placed,16.15,Excellent,C++,69,2
STU01361,27,Female,Nagpur,Tamil Nadu,Electrical,2,8.04,2.9,7.3,6.9,4.3,GitHub Copilot,High,43,1,5.0,Placed,26.7,Average,Python,84,1
STU01362,17,Female,Bangalore,Karnataka,CSE,1,6.91,9.8,3.6,6.8,4.5,GitHub Copilot,Low,92,8,6.4,Not Placed,5.47,Poor,C++,81,3
STU01363,18,Female,Pune,Tamil Nadu,ENTC,4,8.67,2.4,3.2,2.7,5.7,GitHub Copilot,High,71,3,5.4,Not Placed,10.01,Average,C++,87,4
STU01364,20,Male,Delhi,West Bengal,Electrical,2,9.07,7.5,3.9,3.9,4.5,Perplexity,Low,75,1,7.0,Not Placed,29.91,Poor,Java,83,7
STU01365,28,Male,Chennai,Maharashtra,Civil,1,9.71,9.3,4.5,6.7,5.5,Claude,Low,70,4,4.7,Not Placed,22.29,Excellent,C++,49,6
STU01366,19,Male,Mumbai,Telangana,ENTC,1,7.13,1.7,11.4,1.4,5.9,Perplexity,Low,41,5,7.3,Placed,34.95,Good,Java,59,6
STU01367,17,Male,Ahmedabad,Maharashtra,CSE,4,6.64,1.4,5.1,4.8,7.2,Claude,Low,60,1,7.7,Placed,10.02,Good,Java,31,2
STU01368,17,Male,Kolkata,Tamil Nadu,IT,3,9.56,9.6,8.5,3.4,4.2,GitHub Copilot,Low,41,10,8.1,Placed,6.3,Poor,Python,97,6
STU01369,20,Male,Bangalore,Maharashtra,CSE,1,8.92,7.3,13.6,0.4,9.0,Claude,High,60,2,7.5,Placed,17.62,Poor,Python,62,5
STU01370,20,Female,Delhi,Telangana,Electrical,4,9.16,4.8,7.6,4.0,4.8,Gemini,Medium,68,3,8.6,Placed,5.26,Good,C++,89,5
STU01371,20,Male,Mumbai,Karnataka,Electrical,1,6.1,7.6,13.6,7.5,7.5,Gemini,Low,82,5,8.3,Internship,28.48,Good,JavaScript,76,4
STU01372,20,Female,Bangalore,West Bengal,Mechanical,2,6.12,7.9,8.0,3.5,2.4,Perplexity,Medium,50,8,8.1,Placed,6.56,Poor,Python,68,1
STU01373,28,Female,Mumbai,West Bengal,Electrical,2,9.85,7.6,10.9,0.5,7.3,ChatGPT,Low,94,2,8.5,Not Placed,18.82,Average,Java,47,6
STU01374,28,Female,Delhi,Tamil Nadu,CSE,4,7.37,4.9,8.2,5.1,6.8,Gemini,Low,48,9,6.3,Internship,22.39,Poor,C++,52,3
STU01375,24,Female,Bangalore,Delhi,ENTC,2,6.68,4.0,3.9,1.4,3.9,Perplexity,Low,99,1,5.9,Internship,10.65,Good,C++,34,4
STU01376,26,Male,Mumbai,Maharashtra,CSE,1,8.84,2.8,13.6,7.2,8.4,GitHub Copilot,Medium,43,6,6.0,Placed,22.57,Good,C++,45,5
STU01377,18,Male,Kolkata,Delhi,AI/ML,4,6.79,9.7,4.3,5.8,5.4,Perplexity,High,50,3,8.9,Placed,13.99,Good,JavaScript,33,5
STU01378,26,Female,Pune,West Bengal,Mechanical,3,7.88,6.1,13.3,6.5,4.4,ChatGPT,High,84,8,7.0,Placed,22.36,Poor,JavaScript,100,3
STU01379,28,Male,Ahmedabad,Tamil Nadu,IT,2,8.33,3.7,4.2,3.2,0.1,GitHub Copilot,Medium,86,7,4.8,Not Placed,8.81,Average,Java,76,7
STU01380,28,Male,Delhi,Tamil Nadu,Civil,4,7.54,1.1,4.7,0.1,7.5,Perplexity,Low,67,3,8.6,Not Placed,14.91,Excellent,JavaScript,43,1
STU01381,28,Male,Mumbai,Tamil Nadu,Civil,4,8.86,2.1,13.9,1.8,5.2,Claude,Medium,96,7,8.0,Internship,20.4,Poor,JavaScript,57,7
STU01382,21,Male,Mumbai,West Bengal,Electrical,1,8.58,1.8,3.7,3.0,2.0,Claude,Medium,93,8,8.9,Internship,16.89,Average,Python,85,10
STU01383,20,Female,Mumbai,Telangana,AI/ML,3,6.17,1.8,13.6,1.1,2.5,ChatGPT,Medium,84,8,7.6,Placed,31.16,Excellent,JavaScript,31,5
STU01384,18,Male,Mumbai,Maharashtra,Civil,3,6.42,8.3,12.9,5.6,4.8,Perplexity,Medium,88,7,6.9,Not Placed,12.55,Average,C++,55,6
STU01385,26,Male,Delhi,Telangana,IT,1,9.16,8.6,7.0,5.8,9.0,GitHub Copilot,Low,58,7,7.3,Placed,14.86,Good,Python,96,10
STU01386,28,Female,Hyderabad,Gujarat,Mechanical,4,7.19,7.4,3.2,6.0,4.6,ChatGPT,High,49,6,6.6,Internship,8.2,Good,JavaScript,60,8
STU01387,18,Male,Delhi,Telangana,Civil,1,6.68,3.2,11.9,5.4,0.6,Perplexity,Low,75,10,6.4,Internship,16.16,Average,C++,70,3
STU01388,27,Female,Mumbai,Tamil Nadu,Mechanical,3,6.18,9.2,6.9,4.9,3.8,Perplexity,Low,56,6,4.0,Internship,30.95,Good,Python,91,6
STU01389,20,Female,Bangalore,Telangana,Civil,1,7.72,6.1,12.3,6.6,1.7,ChatGPT,Low,56,6,7.6,Internship,8.2,Excellent,JavaScript,63,5
STU01390,26,Male,Kolkata,Telangana,Electrical,1,9.29,8.6,6.2,6.1,2.5,Perplexity,Low,64,6,8.2,Placed,23.34,Excellent,JavaScript,79,3
STU01391,27,Male,Nagpur,West Bengal,Civil,3,5.66,4.5,12.7,3.8,5.6,Gemini,High,57,4,7.6,Placed,20.83,Poor,Java,80,2
STU01392,19,Female,Delhi,Delhi,ENTC,1,7.23,8.7,12.2,3.8,3.6,ChatGPT,Low,69,4,5.1,Not Placed,24.57,Poor,Java,70,5
STU01393,23,Female,Kolkata,Maharashtra,ENTC,2,9.74,3.4,8.0,3.2,5.9,GitHub Copilot,Medium,49,2,4.9,Placed,20.77,Average,C++,61,7
STU01394,19,Female,Kolkata,Telangana,Civil,1,9.44,1.8,5.8,0.6,4.9,Gemini,High,62,9,8.4,Internship,20.69,Excellent,C++,77,2
STU01395,18,Female,Hyderabad,Tamil Nadu,CSE,1,9.24,2.4,2.4,6.3,1.6,Perplexity,Low,79,5,8.0,Not Placed,26.35,Good,C++,33,7
STU01396,26,Male,Delhi,Karnataka,AI/ML,2,9.82,1.5,8.4,5.8,1.8,GitHub Copilot,Medium,70,10,6.5,Internship,7.46,Average,JavaScript,38,2
STU01397,17,Female,Hyderabad,Maharashtra,AI/ML,4,6.41,1.5,3.3,2.9,2.1,Gemini,Low,41,3,6.8,Internship,12.96,Excellent,C++,91,4
STU01398,28,Male,Chennai,Tamil Nadu,Mechanical,4,6.69,4.3,4.6,0.8,7.3,GitHub Copilot,Low,40,7,4.2,Not Placed,24.43,Good,Python,75,1
STU01399,28,Female,Bangalore,Telangana,ENTC,3,9.15,5.5,8.3,2.4,1.0,Perplexity,Low,55,7,4.4,Placed,6.18,Good,Java,36,3
STU01400,17,Male,Nagpur,Maharashtra,CSE,2,6.6,4.3,7.3,1.3,4.4,Perplexity,Medium,90,2,5.1,Not Placed,26.52,Poor,Java,92,9
STU01401,25,Male,Delhi,Gujarat,AI/ML,4,6.69,2.2,11.9,6.0,1.9,ChatGPT,High,67,7,8.0,Not Placed,11.28,Average,Java,66,3
STU01402,17,Female,Chennai,West Bengal,ENTC,2,8.19,7.6,12.5,0.0,8.9,ChatGPT,Low,75,3,4.8,Internship,25.93,Poor,Java,92,6
STU01403,17,Male,Nagpur,Telangana,ENTC,1,9.14,5.0,8.4,1.9,3.1,Gemini,Low,90,8,4.3,Internship,7.77,Excellent,C++,100,1
STU01404,22,Male,Bangalore,West Bengal,CSE,1,8.11,2.7,9.9,2.1,4.2,Perplexity,Medium,53,8,4.9,Internship,18.88,Poor,Java,37,5
STU01405,24,Female,Nagpur,Telangana,Electrical,3,5.96,2.5,10.2,4.3,7.7,Gemini,High,52,1,8.7,Internship,7.83,Good,Java,91,10
STU01406,24,Male,Pune,West Bengal,Mechanical,1,7.05,7.9,3.2,3.6,1.4,Claude,Low,98,5,6.8,Placed,24.54,Average,Java,39,10
STU01407,17,Female,Mumbai,Karnataka,Civil,4,9.86,7.6,8.7,0.9,1.0,GitHub Copilot,Medium,68,6,5.4,Not Placed,3.07,Average,JavaScript,94,4
STU01408,19,Female,Nagpur,Gujarat,Civil,3,8.0,6.8,7.1,4.3,3.7,Perplexity,Medium,49,10,4.4,Placed,30.86,Good,Java,82,3
STU01409,22,Male,Nagpur,Telangana,Mechanical,4,8.87,4.6,9.4,1.7,4.8,ChatGPT,Low,51,3,8.4,Placed,3.28,Excellent,C++,87,10
STU01410,23,Female,Ahmedabad,Karnataka,Mechanical,4,7.05,1.5,4.0,0.9,5.7,Gemini,Medium,76,6,5.4,Placed,7.05,Average,JavaScript,60,10
STU01411,25,Female,Bangalore,West Bengal,IT,3,6.39,6.0,7.2,2.8,7.4,GitHub Copilot,Medium,91,7,4.5,Not Placed,8.25,Excellent,JavaScript,85,4
STU01412,24,Female,Kolkata,Gujarat,AI/ML,3,8.76,9.5,12.3,5.8,1.0,Claude,High,91,6,9.0,Not Placed,19.35,Good,Python,74,6
STU01413,21,Female,Pune,Maharashtra,Mechanical,1,9.7,3.2,4.2,6.7,3.1,Gemini,High,55,9,5.9,Placed,7.42,Average,Python,99,2
STU01414,28,Male,Kolkata,Telangana,CSE,3,9.24,6.3,5.5,4.7,2.7,Perplexity,Low,68,5,7.8,Placed,7.62,Average,JavaScript,60,1
STU01415,26,Male,Pune,Telangana,AI/ML,1,7.09,9.5,11.5,7.0,2.8,GitHub Copilot,Medium,59,7,7.2,Placed,4.92,Poor,JavaScript,96,1
STU01416,22,Female,Delhi,Gujarat,IT,4,8.35,3.0,4.1,2.8,5.7,Perplexity,High,68,9,4.4,Not Placed,15.5,Good,Java,94,6
STU01417,28,Female,Bangalore,Tamil Nadu,AI/ML,3,6.61,7.4,12.5,3.1,3.9,Gemini,High,61,7,8.5,Internship,4.5,Poor,C++,86,10
STU01418,20,Male,Chennai,Tamil Nadu,ENTC,4,8.68,9.6,8.0,0.6,4.0,ChatGPT,Medium,85,4,6.7,Internship,9.71,Average,Java,91,8
STU01419,20,Male,Chennai,Delhi,AI/ML,2,8.03,2.3,4.6,7.4,0.2,ChatGPT,Low,93,4,7.9,Internship,21.3,Poor,Python,72,8
STU01420,20,Male,Chennai,West Bengal,CSE,4,6.1,9.9,5.3,1.5,2.2,GitHub Copilot,Low,75,8,6.4,Not Placed,24.45,Excellent,JavaScript,90,1
STU01421,19,Male,Bangalore,Karnataka,CSE,3,7.19,6.3,11.1,2.7,8.1,ChatGPT,High,100,6,8.8,Placed,29.1,Good,Java,76,10
STU01422,24,Male,Kolkata,Tamil Nadu,Electrical,4,6.48,5.4,5.1,6.4,1.6,ChatGPT,High,59,8,5.4,Placed,11.81,Good,Java,71,4
STU01423,18,Female,Hyderabad,Tamil Nadu,IT,1,9.62,8.7,7.5,7.7,2.8,Perplexity,Low,91,7,7.3,Not Placed,6.81,Poor,C++,62,6
STU01424,20,Female,Delhi,Tamil Nadu,ENTC,3,6.01,3.4,12.8,4.0,2.2,Perplexity,High,64,10,5.8,Internship,7.04,Average,JavaScript,65,8
STU01425,20,Female,Hyderabad,Delhi,AI/ML,4,7.37,4.6,10.3,6.5,6.2,ChatGPT,High,100,6,4.7,Not Placed,13.5,Poor,Python,42,10
STU01426,26,Male,Mumbai,West Bengal,AI/ML,4,6.94,10.0,11.5,2.1,1.0,Gemini,Low,59,6,6.1,Not Placed,9.37,Poor,Java,83,7
STU01427,19,Female,Nagpur,West Bengal,CSE,1,8.57,9.9,3.6,0.0,7.7,Gemini,Low,51,10,8.4,Internship,27.23,Good,Python,52,9
STU01428,28,Male,Chennai,Gujarat,CSE,3,8.6,3.9,3.9,3.6,1.7,ChatGPT,Low,45,10,6.7,Not Placed,14.35,Average,C++,38,1
STU01429,17,Female,Delhi,Karnataka,AI/ML,2,8.07,9.9,4.6,4.9,6.0,Gemini,Low,53,1,8.2,Placed,29.36,Good,C++,30,1
STU01430,24,Male,Hyderabad,West Bengal,AI/ML,4,7.12,2.6,3.4,5.4,8.6,GitHub Copilot,Medium,84,3,8.8,Internship,14.29,Average,Java,50,1
STU01431,22,Male,Chennai,Delhi,AI/ML,4,7.11,5.9,8.0,1.5,8.2,ChatGPT,Medium,44,8,4.2,Not Placed,7.77,Excellent,JavaScript,58,6
STU01432,28,Female,Bangalore,Delhi,ENTC,1,5.9,2.1,7.7,0.9,1.3,Claude,High,60,9,5.5,Internship,20.4,Excellent,C++,37,7
STU01433,20,Female,Delhi,Karnataka,AI/ML,3,8.73,8.0,6.8,0.5,2.4,Claude,High,68,2,4.6,Not Placed,27.2,Average,JavaScript,33,10
STU01434,18,Female,Mumbai,West Bengal,CSE,1,9.14,9.1,12.5,2.4,4.5,Claude,High,58,6,6.7,Not Placed,26.18,Excellent,Java,46,5
STU01435,19,Female,Kolkata,Tamil Nadu,Mechanical,3,8.89,4.9,5.4,2.2,4.9,GitHub Copilot,High,77,4,7.8,Not Placed,34.24,Average,Python,97,10
STU01436,25,Male,Delhi,Delhi,CSE,3,8.02,2.9,11.9,5.1,3.1,ChatGPT,Low,49,10,8.5,Internship,22.86,Excellent,Python,93,3
STU01437,22,Female,Nagpur,Karnataka,Electrical,1,8.3,2.2,11.4,7.4,8.5,Perplexity,Medium,56,1,4.0,Internship,16.96,Poor,JavaScript,45,5
STU01438,19,Female,Mumbai,Karnataka,CSE,3,7.02,3.3,2.8,2.9,5.7,Claude,High,68,2,8.7,Internship,12.56,Poor,Python,34,6
STU01439,19,Male,Delhi,Tamil Nadu,CSE,3,7.03,6.3,11.6,6.5,4.9,Perplexity,High,52,3,6.0,Internship,16.72,Good,Java,46,4
STU01440,27,Female,Hyderabad,Tamil Nadu,Mechanical,3,8.68,9.7,13.3,4.2,6.7,Gemini,Medium,43,4,6.4,Not Placed,13.78,Good,C++,97,2
STU01441,17,Female,Pune,Gujarat,Electrical,1,8.55,9.0,7.6,6.8,5.3,Gemini,High,62,8,5.9,Internship,7.63,Good,JavaScript,35,4
STU01442,22,Female,Pune,Maharashtra,AI/ML,1,5.8,9.8,2.9,7.9,6.3,Perplexity,High,82,7,7.2,Not Placed,18.28,Good,Python,43,6
STU01443,17,Female,Kolkata,Maharashtra,AI/ML,3,9.68,6.2,7.1,3.7,7.4,ChatGPT,Low,65,2,8.4,Not Placed,22.35,Good,Python,31,8
STU01444,21,Female,Ahmedabad,Gujarat,AI/ML,2,5.57,1.8,13.4,4.5,8.7,Perplexity,Low,67,3,6.8,Not Placed,28.44,Excellent,C++,66,1
STU01445,19,Male,Mumbai,Telangana,Mechanical,1,8.4,7.2,8.5,6.1,4.5,Perplexity,High,81,8,8.0,Internship,12.36,Average,C++,83,7
STU01446,17,Female,Pune,Delhi,IT,3,5.69,2.4,6.5,7.1,7.9,Gemini,Low,40,5,5.7,Not Placed,16.59,Excellent,JavaScript,87,5
STU01447,27,Female,Pune,Maharashtra,Electrical,2,7.91,7.0,7.3,5.6,4.7,ChatGPT,Low,42,10,4.8,Not Placed,29.98,Good,Java,52,10
STU01448,24,Male,Hyderabad,Delhi,Electrical,4,7.28,1.9,4.8,3.7,4.9,Gemini,Medium,100,5,8.5,Placed,13.63,Average,Java,75,10
STU01449,26,Female,Kolkata,Tamil Nadu,CSE,2,9.36,2.2,4.3,1.5,5.3,GitHub Copilot,High,92,10,6.8,Internship,12.97,Poor,C++,66,5
STU01450,17,Female,Hyderabad,Telangana,ENTC,1,8.98,6.2,10.2,2.2,5.2,Gemini,Low,63,9,8.1,Placed,15.41,Good,Python,77,7
STU01451,24,Female,Hyderabad,Karnataka,IT,3,9.39,3.3,13.4,5.2,7.9,ChatGPT,High,66,3,6.0,Internship,16.28,Good,C++,88,10
STU01452,23,Female,Chennai,Telangana,IT,1,8.12,1.3,13.5,7.2,3.1,Perplexity,High,47,2,5.8,Not Placed,26.97,Poor,C++,50,9
STU01453,18,Male,Ahmedabad,West Bengal,Electrical,3,7.15,5.6,10.0,3.7,2.8,Gemini,High,91,6,6.5,Placed,17.64,Average,Java,75,7
STU01454,17,Male,Mumbai,West Bengal,IT,2,9.48,7.9,12.3,7.6,8.3,GitHub Copilot,High,75,3,8.3,Not Placed,3.56,Excellent,Python,90,3
STU01455,26,Female,Ahmedabad,Delhi,ENTC,3,5.93,6.5,8.2,1.9,2.4,Perplexity,High,92,6,7.8,Internship,25.87,Good,Python,35,8
STU01456,17,Male,Pune,Gujarat,Electrical,2,6.18,3.8,13.9,4.5,5.1,Perplexity,High,84,5,8.6,Placed,29.7,Excellent,C++,56,3
STU01457,19,Male,Delhi,West Bengal,Civil,2,8.47,2.9,13.3,5.4,0.3,Gemini,Low,87,1,6.1,Internship,13.28,Excellent,C++,63,5
